NombreMedio,CódigoMedio,Amplitud,PropiedadLegal,NumArticulos2017,FollowersInicio2017,FollowersFin2017
24 Horas Noticias,24HorasTVN,N,Estado Chileno,48409,3087888,3286603
TVN,TVN,N,Estado Chileno,15467,2734900,2910624
Tele 13 Noticias,T13,N,Grupo Canal 13,35293,2697825,2869408
CNN Chile,CNNChile,N,Time Warner,22507,2617238,2814705
Radio BioBio,biobio,N,BIO-BIO comunicaciones,47417,2513741,2756031
Radio Cooperativa,Cooperativa,N,Compañía Chilena de Comunicaciones,90564,2480889,2638045
Canal 13,canal13,N,Grupo Luksic,3893,1929492,2089537
La Tercera,latercera,N,Grupo Copesa,79898,1745495,1849215
EMOL,Emol,N,El Mercurio S.A.P.,73647,1669999,1805524
Radio ADN ,adnradiochile,N,Ibero Americana Radio Chile,32954,1514634,1660965
The Clinic,thecliniccl,N,Ediciones y Publicaciones Bobby S.A. ,13030,1445828,1637257
El Mostrador,elmostrador,N,La Plaza S.A.,22968,22968,1533717
Chilevision ,chilevision ,N,Time Warner,17848,1142182,1264464
Terra,terraChile,N,Terra Networks Chile S.A.,4440,1167081,1190512
Mega,Mega,N,Bethia,17950,842524,1016622
Ahora Noticias,ahoranoticiasAN,N,Bethia,20475,866670,1012851
CIPER Chile,ciper,N,Fundacion CIPER- Grupo Copesa,630,687435,902201
Publimetro Chile,PublimetroChile,N,Metro International,68376,827223,876749
La Cuarta,lacuarta,N,Grupo Copesa,13524,743366,763174
Deportes 13,deportes13cl,N,Grupo Luksic,19245,600380,610516
La Segunda,La_Segunda,N,El Mercurio S.A.P.,2438,544811,563406
La Red,LaRedTV,N,Albavisión (MX),8581,475649,531088
El Dínamo,el_dinamo,N,Ediciones Giro País SpA,19547,329960,418425
Chilevisión Deportes,chvdeportes,N,Time Warner,1430,348053,351803
La Nación,nacioncl,N,Empresa Periodistica La Nación S.A.,13208,305100,318346
Qué Pasa,revistaQP,N,Grupo Copesa,4840,289077,298495
La Hora,DiarioLaHora,N,Grupo Copesa,11655,280674,296059
El Ciudadano,El_Ciudadano,N,Sociedad Periodística El Ciudadano,10936,249019,277703
Cadena Chile ,CadenaChile,N,Vocación-Comunitaria,895,271844,277201
El Grafico Chile,ElGraficoChile,N,Metro International,28722,257548,268826
Difamadores,difamadores,N,Eduardo Mardones,1029,245330,248538
Bio Bio Deportes,biobiodeportes,N,Grupo Mochiatti,17403,210940,235075
Emol Deportes,Emol_Deportes,N,El Mercurio S.A.P.,8372,212049,220974
La Serena Online,LaSerenaOnline,L,La Serena Online,3731,147725,212759
Soy Chile ,soychilecl,N,El Mercurio S.A.P.,27356,191175,208424
Diario Financiero,Dfinanciero,N,Grupo Claro,13278,116925,133828
El quinto poder,elquintopoder,N,Fundacion Democracia y Desarrollo,4679,124406,130323
Mercurio Valparaiso,mercuriovalpo,N,El Mercurio S.A.P,12271,107157,129761
TVN Deportes,tvn_deportes,N,Estado Chileno,191,125315,128555
Glamorama ,GlamoramaCL,N,Grupo Copesa,3223,117320,121128
Diario El Dia (Reg Coquimbo) ,eldia_cl,L,Diario ELDIA,8470,90981,106078
El Periscopio,ElPeriscopioCL,N,Trayectos Agencia de Comunicaciones Ltda,11180,105003,105532
El Observatodo,elobservatodo,L,Grupo Mi Voz Red de Diarios Ciudadanos,8016,84397,99838
La Tercera Alerta,laterceracom,N,Grupo Copesa,3,93942,96775
Diario El Sur,elsurcl ,L,Diario El Sur S.A,3330,83799,95662
Diario-Radio Uchile,uchileradio,N,Universidad de Chile,7722,83919,94999
Soy Concepción,soyconcepcion,L,El Mercurio S.A.P,4259,74208,94205
Pudahuel,RadioPudahuel,N,Ibero Americana Radio Chile,3264,62465,88523
Canal 9 Bio Bio TV,biobiotv,N,Grupo Mosciatti,47,69535,88475
El Mercurio Valpo,soyvalparaiso,L,El Mercurio S.A.P,6218,69161,84203
El Austral de la Araucanía,AustralTemuco,L,El Mercurio S.A.P,4215,72125,83479
